,,,,Показники за період,,,,,,,,,,,,,,A95,LPG,,,,,,,,A95,LPG,LPG,,,
,,,,Відстань,,"130 778,00","131 814,00","134 119,00","134 693,00",,,,,,,,,"1 036,00","574,00",,,,,,Приблизний розахунок вартості поїздки,,,,,,,
,,,,Спожито палива:,,,,,,"583,58","606,94","3 177,35","3 256,60",,,,,"23,36 л.","79,25 л.",,,,,,Відстань,,4000,,,,,
,,,,Середнє споживання ,,,,,,,,,,,,,,"2,25 л.","13,81 л.",Всього,,,,,л/100 за 2022,,"2,55 л.",,"10,55 л.",,,
,,,,Cума в грн,,,,,,,,,,"16 675,13","17 913,21","53 802,95 грн. ","55 598,45 грн. ","1 238,08 грн. ","1 795,50 грн. ","3 033,57 грн. ",,,,,Паливо,,"102,00 л.",,"422,00 л.",,,
,,,,"Ціна 1 км, грн",,,,,,,,,,,,,,"1,20 грн. ","3,13 грн. ","4,32 грн. ",,,,,Вартість,,"4 780,23 грн. ",,"12 512,16 грн. ","  17 292,39  грн.  ",,
A95,,LPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,F,S,F,Дата,"Одометр, км",Начало для А95,Finish для А95,Начало для LPG,Finish для LPG,Кол А95 Старт,Кол А95 Фин,Кол LPG старт,Кол LPG Фин,Сум А95 старт,Сум А95 Фин,Сум LPG старт,Сум LPG Фин,"Залив А-95, л","Ціна А-95, грн","Залив LPG, л ","Ціна LPG, грн",Всего А95,Всего LPG,,"Сума А-95, грн",Общ Сум А95,"Сума LPG, грн",Общ Сум LPG,"Сума, грн","Проїхал, км",,
FALSE,FALSE,FALSE,FALSE,01.05.2020,104 382,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.","62,68 л.","24,99 грн. ",,,"62,68 л.",,,"1 566,37 грн. ","1 566,37 грн. ","0,00 грн. ","0,00 грн. ","1 566,37 грн. ",,,
FALSE,FALSE,FALSE,FALSE,22.05.2020,104 897,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.","61,08 л.","24,49 грн. ",,,"123,76 л.","0,00 л.",,"1 495,85 грн. ","3 062,22 грн. ","0,00 грн. ","0,00 грн. ","1 495,85 грн. ",515,,23 438
FALSE,FALSE,FALSE,FALSE,27.05.2020,104 977,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"10,00 л.","10,00 грн. ","123,76 л.","10,00 л.",,"0,00 грн. ","3 062,22 грн. ","100,00 грн. ","100,00 грн. ","100,00 грн. ",80,,"2944,47 л."
FALSE,FALSE,FALSE,FALSE,28.05.2020,104 977,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"26,00 л.","9,90 грн. ","123,76 л.","36,00 л.",,"0,00 грн. ","3 062,22 грн. ","257,40 грн. ","357,40 грн. ","257,40 грн. ",0,,"6294,50 л."
FALSE,FALSE,FALSE,FALSE,06.06.2020,105 185,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"26,68 л.","10,50 грн. ","123,76 л.","62,68 л.",,"0,00 грн. ","3 062,22 грн. ","280,14 грн. ","637,54 грн. ","280,14 грн. ",208,,"12,56"
FALSE,FALSE,FALSE,FALSE,13.06.2020,105 477,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"33,42 л.","10,95 грн. ","123,76 л.","96,10 л.",,"0,00 грн. ","3 062,22 грн. ","365,95 грн. ","1 003,49 грн. ","365,95 грн. ",292,,"26,86"
FALSE,FALSE,FALSE,FALSE,18.06.2020,105 714,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"12,00 л.","11,00 грн. ","123,76 л.","108,10 л.",,"0,00 грн. ","3 062,22 грн. ","132,00 грн. ","1 135,49 грн. ","132,00 грн. ",237,,
FALSE,FALSE,FALSE,FALSE,20.06.2020,105 754,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"15,24 л.","11,45 грн. ","123,76 л.","123,34 л.",,"0,00 грн. ","3 062,22 грн. ","174,50 грн. ","1 309,99 грн. ","174,50 грн. ",40,,
FALSE,FALSE,FALSE,FALSE,26.06.2020,105 962,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"33,08 л.","11,45 грн. ","123,76 л.","156,42 л.",,"0,00 грн. ","3 062,22 грн. ","378,77 грн. ","1 688,75 грн. ","378,77 грн. ",208,,
FALSE,FALSE,FALSE,FALSE,26.06.2020,106 249,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"22,59 л.","11,45 грн. ","123,76 л.","179,01 л.",,"0,00 грн. ","3 062,22 грн. ","258,66 грн. ","1 947,41 грн. ","258,66 грн. ",287,,
FALSE,FALSE,FALSE,FALSE,26.06.2020,106 439,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"18,80 л.","11,45 грн. ","123,76 л.","197,81 л.",,"0,00 грн. ","3 062,22 грн. ","215,26 грн. ","2 162,67 грн. ","215,26 грн. ",190,,
FALSE,FALSE,FALSE,FALSE,29.06.2020,106 656,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"25,00 л.","11,45 грн. ","123,76 л.","222,81 л.",,"0,00 грн. ","3 062,22 грн. ","286,25 грн. ","2 448,92 грн. ","286,25 грн. ",217,,
FALSE,FALSE,FALSE,FALSE,30.06.2020,106 777,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"12,54 л.","11,45 грн. ","123,76 л.","235,35 л.",,"0,00 грн. ","3 062,22 грн. ","143,58 грн. ","2 592,50 грн. ","143,58 грн. ",121,,
FALSE,FALSE,FALSE,FALSE,30.06.2020,106 952,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"15,00 л.","11,45 грн. ","123,76 л.","250,35 л.",,"0,00 грн. ","3 062,22 грн. ","171,75 грн. ","2 764,25 грн. ","171,75 грн. ",175,,
FALSE,FALSE,FALSE,FALSE,30.06.2020,107 210,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"20,00 л.","11,45 грн. ","123,76 л.","270,35 л.",,"0,00 грн. ","3 062,22 грн. ","229,00 грн. ","2 993,25 грн. ","229,00 грн. ",258,,
FALSE,FALSE,FALSE,FALSE,06.07.2020,107 442,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"25,00 л.","10,90 грн. ","123,76 л.","295,35 л.",,"0,00 грн. ","3 062,22 грн. ","272,50 грн. ","3 265,75 грн. ","272,50 грн. ",232,,
FALSE,FALSE,FALSE,FALSE,08.07.2020,107 499,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"10,00 л.","11,98 грн. ","123,76 л.","305,35 л.",,"0,00 грн. ","3 062,22 грн. ","119,80 грн. ","3 385,55 грн. ","119,80 грн. ",57,,
FALSE,FALSE,FALSE,FALSE,11.07.2020,107 543,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"100,00 л.","10,90 грн. ","123,76 л.","405,35 л.",,"0,00 грн. ","3 062,22 грн. ","1 090,00 грн. ","4 475,55 грн. ","1 090,00 грн. ",44,,
FALSE,FALSE,FALSE,FALSE,30.07.2020,108 082,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00 л.","0,00 л.","0,00 л.","0,00","0,00 л.",,,"200,00 л.","11,20 грн. ","123,76 л.","605,35 л.",,"0,00 грн. ","3 062,22 грн. ","2 240,00 грн. ","6 715,55 грн. ","2 240,00 грн. ",539,,
